occupancy_date,sector,capacity_type,location_city,occupancy_rate
2024-01-03,Women,Room Based Capacity,Scarborough,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,86.76470588235294
2024-01-03,Mixed Adult,Room Based Capacity,Vaughan,94.20289855072464
2024-01-03,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,97.91666666666666
2024-01-03,Mixed Adult,Room Based Capacity,NA,100
2024-01-03,Mixed Adult,Room Based Capacity,NA,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,98.50746268656717
2024-01-03,Men,Bed Based Capacity,Toronto,99.15966386554622
2024-01-03,Men,Bed Based Capacity,Toronto,86.11111111111111
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,94.28571428571428
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,96.92307692307692
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,50
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,96.66666666666669
2024-01-03,Youth,Bed Based Capacity,Toronto,92.85714285714286
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,97.59036144578312
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,91.30434782608695
2024-01-03,Youth,Bed Based Capacity,Toronto,98
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Room Based Capacity,Scarborough,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,63.63636363636363
2024-01-03,Women,Bed Based Capacity,Toronto,97.2972972972973
2024-01-03,Women,Bed Based Capacity,Toronto,92
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,98.57142857142858
2024-01-03,Mixed Adult,Room Based Capacity,North York,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,87.14285714285714
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,98.33333333333331
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,99.15254237288136
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,92
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,80
2024-01-03,Men,Room Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,98.1981981981982
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Scarborough,100
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,North York,100
2024-01-03,Women,Bed Based Capacity,North York,100
2024-01-03,Men,Bed Based Capacity,North York,100
2024-01-03,Women,Bed Based Capacity,North York,75
2024-01-03,Mixed Adult,Room Based Capacity,Scarborough,100
2024-01-03,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,NA,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,98.78048780487804
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-03,Youth,Bed Based Capacity,Toronto,83.33333333333334
2024-01-03,Youth,Bed Based Capacity,Toronto,80
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Men,Room Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Women,Room Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Families,Room Based Capacity,Toronto,92.5925925925926
2024-01-03,Women,Bed Based Capacity,Toronto,98.83720930232558
2024-01-03,Women,Room Based Capacity,North York,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Room Based Capacity,Scarborough,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Room Based Capacity,North York,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,100
2024-01-03,Men,Bed Based Capacity,Toronto,98
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,NA,100
2024-01-03,Families,Room Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Women,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Toronto,100
2024-01-03,Youth,Bed Based Capacity,Etobicoke,96.96969696969695
2024-01-03,Youth,Bed Based Capacity,Etobicoke,95
2024-01-03,Youth,Bed Based Capacity,Scarborough,100
2024-01-03,Youth,Bed Based Capacity,Scarborough,97.5609756097561
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,North York,100
2024-01-04,Families,Room Based Capacity,North York,100
2024-01-04,Mixed Adult,Room Based Capacity,Etobicoke,100
2024-01-04,Men,Room Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Room Based Capacity,North York,100
2024-01-04,Mixed Adult,Room Based Capacity,North York,100
2024-01-04,Mixed Adult,Room Based Capacity,North York,100
2024-01-04,Mixed Adult,Room Based Capacity,North York,100
2024-01-04,Men,Bed Based Capacity,Toronto,72.22222222222221
2024-01-04,Women,Room Based Capacity,Scarborough,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,88.23529411764706
2024-01-04,Mixed Adult,Room Based Capacity,Vaughan,94.20289855072464
2024-01-04,Men,Bed Based Capacity,Toronto,95.83333333333334
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Families,Room Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Room Based Capacity,NA,100
2024-01-04,Mixed Adult,Room Based Capacity,NA,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,98.9247311827957
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,98.50746268656717
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,80.55555555555556
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,99.05660377358492
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,97.14285714285714
2024-01-04,Mixed Adult,Room Based Capacity,Toronto,96.92307692307692
2024-01-04,Women,Bed Based Capacity,Toronto,100
2024-01-04,Men,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,50
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,100
2024-01-04,Youth,Bed Based Capacity,Toronto,92.85714285714286
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,100
2024-01-04,Mixed Adult,Bed Based Capacity,Toronto,99.15966386554622
2024-01-04,Mixed Adult,Bed Based Capacity,Scarborough,100
